Press Release Title,New Research Points to the Benefits of Being all Fingers and Thumbs ,Key:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Study Title: Original Research,The Nature of Gestures' Beneficial Role in Spatial Problem Solving,,,,Dotted Cells first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discipline,5,,Title ,,Diagonal Lines Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-discipline,-9,,First 2 sentences,,Striped Cells Third,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-discipline 2,-9,,Discussion/ Conclusion,,Blank Cells Last,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes (complete/incomplete),complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coder:,7,,Journal Article - Body,Journal Article - Title and Abstract,Press Release,Daily Mail,Sun,Mirror,Express,Times,Guardian,Telegraph,Independent,Daily Star,Scotsman,Financial Times,Racing Post,The Observer,Sunday Sun,Mail on Sunday,Sunday Mirror,Sunday Times,Sunday Express,Daily Star Sunday,The People,Sunday Telegraph,Sunday Mail,Sunday Post,Financial Times,Economist,New Scientist,BBC News,Mail Online,Guardian.co.uk,Press Association,Reuters,Associated Press,Metro
Reference:,01-11-001,Available for Coding?,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Date Published,,39113,39115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Word Count - Title,,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Word Count - Body,12000,250,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sentence Count,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Who is it written by?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Journalistic code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Title,IV(s) in title,,Gestures,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DV(s) in title,,Spatial Problem Solving,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Who is it About?,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Are there quotes in the title?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Statement of Cause,,0,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Main Conclusion IV,Main IV of Conclusions (or quasi IV),,Amount of hand gesturing,Hand Gestures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,IV Code,,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Is this IV in the first 2 sentences?,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Number of Sentences the IV is mentioned on,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Words to First Mention,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,What terms were included in the count?,,,..gesturing with our hands.. ..spontaneous hand gestures.. ..hand gestures.. ..co-thought gestures.. ..move our hands.. ..gestures..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,is there ambiguity?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,if yes describe,,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Is the same IV being coded here as the abstract?,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Note differences here,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Actual IV for this,Amount of hand gesturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,IV Code,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Is there a generalisation?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Number of sentences the actual IV is mentioned,,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,Words to First Mention,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,What terms were included in the count?,,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?,,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Words to First Mention,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Caveats Mentioned?,,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Words to First Mention,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Main Conclusion DV,Main DV of Conclusions ,,Performance on mental rotation problems,Performance on spatial visualisation problems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Code of Main DV,,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Is this DV in the first 2 sentences?,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Number of Sentences the DV is mentioned on,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Words to First Mention,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,What terms were included in the count?,,,..solve spatial visualisation problems.. ..perform tasks in which objects presented on a computer screen had to be mentally rotated.. ..solve the mental rotation task.. ..the problems.. ..completing the task.. ..different visualisation task..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,is there ambiguity?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,if yes describe,,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Is the same DV being coded here as the abstract?,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Note differences here,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Actual DV for this,Performance on mental rotation problems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DV Code ,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Is there a generalisation?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Number of sentences the actual DV is mentioned,,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Words to First Mention,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,What terms were included in the count?,,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Justification Offered for Generalisation?,,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Words to First Mention,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Caveats Mentioned?,,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
