Press Release Title,Modified Ecstasy holds promise as potent blood cancer treatment ,Key:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Study Title: Original Research,"Enhancing the anti-lymphoma potential of 3,4-methylenedioxymethamphetamine (_˜ecstasy_™)through iterative chemical redesign: mechanisms and pathways to cell death
",,,,Dotted Cells first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discipline,5,,Title ,,Diagonal Lines Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-discipline,8,,First 2 sentences,,Striped Cells Third,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-discipline 2,-9,,Discussion/ Conclusion,,Blank Cells Last,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes (complete/incomplete),complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coder:,5,,Journal Article - Body,Journal Article - Title and Abstract,Press Release,Daily Mail,Sun,Mirror,Express,Times,Guardian,Telegraph,Independent,Daily Star,Scotsman,Financial Times,Racing Post,The Observer,Sunday Sun,Mail on Sunday,Sunday Mirror,Sunday Times,Sunday Express,Daily Star Sunday,The People,Sunday Telegraph,Sunday Mail,Sunday Post,Financial Times,Economist,New Scientist,BBC News,Mail Online,Guardian.co.uk,Press Association,Reuters,Associated Press,Metro
Reference:,01-11-015,Available for Coding?,1,1,1,1,,1,1,,,1,1,1,,,,,,,,,,,,,,,,,,1,,,,,,1
,,Date Published,,39311,39312,39312,,39312,39312,,,39312,39312,39312,,,,,,,,,,,,,,,,,,39312,,,,,,39312
,,Word Count - Title,,18,9,9,,11,8,,,8,8,3,,,,,,,,,,,,,,,,,,5,,,,,,5
,,Word Count - Body,4000,250,500,210,,60,360,,,70,180,30,,,,,,,,,,,,,,,,,,490,,,,,,290
,,Sentence Count,,,19,12,,12,18,,,4,11,3,,,,,,,,,,,,,,,,,,27,,,,,,12
,,Who is it written by?,,,,4,,3,2,,,4,3,4,,,,,,,,,,,,,,,,,,2,,,,,,3
,,Journalist code,,,,-9,,2,-9,,,-9,2,-9,,,,,,,,,,,,,,,,,,-9,,,,,,3
,Title,IV(s) in title,,ecstasy redesign,modified ecstasy,ecstasy,,E,ecstasy,,,ecstasy,form of ecstasy,E,,,,,,,,,,,,,,,,,,modified ecstasy,,,,,,ecstasy
,,DV(s) in title,,anti-lymphoma potential,blood cancer treatment,cancers of the blood,,big C,cancer,,,cancer,cancer,cancer,,,,,,,,,,,,,,,,,,blood cancers,,,,,,leukaemia
,,Who is it About?,,-9,2,2,,2,2,,,1,2,2,,,,,,,,,,,,,,,,,,2,,,,,,2
,,Are there quotes in the title?,,2,0,1,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,1,,,,,,1
,,Statement of Cause,,0,4,4,,4,4,,,4,4,6,,,,,,,,,,,,,,,,,,6,,,,,,6
, Main Conclusion IV,Main IV of Conclusions (or quasi IV),,MDMA analogues,modified MDMA,modified ecstasy,,drug derived from ecstasy,reworked form of ecstasy,,,modiefied ecstasy,modified forms of ecstasy,modified forms of Ecstasy,,,,,,,,,,,,,,,,,,modified forms of ecstasy,,,,,,modified versions of ecstasy
,,IV Code,,8,8,8,,8,8,,,8,8,8,,,,,,,,,,,,,,,,,,8,,,,,,8
,,Is this IV in the first 2 sentences?,,,1,1,,1,1,,,1,1,1,,,,,,,,,,,,,,,,,,1,,,,,,1
,,Number of Sentences the IV is mentioned on,,,9,9,,9,8,,,4,9,3,,,,,,,,,,,,,,,,,,12,,,,,,8
,,Words to First Mention,,,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,0
,,What terms were included in the count?,,,"ecstasy, MDMA, designer drug, the drug","ecstasy, Modified versions of the dance club drug, MDMA molecules",,"rave drug, ecstasy, modified version of the party popper, drug derived from ecstasy, new drug","ecstasy, reworked form of the drug, MDMA, designer drug, ecstasy-based treatment",,,"ecstasy, the designer drug","modified forms of ecstasy, ecstasy, MDMA, MDMA derivatives, the drug","E, ecstasy, modified forms",,,,,,,,,,,,,,,,,,"ecstasy,modified ecstasy, one variant, new compounds, the drug",,,,,,"ecstasy, MDMA, modified versions, popular club drug"
,,is there ambiguity?,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,0
,,if yes describe,,-9,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Is the same IV being coded here as the abstract?,,,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,0
